Application ID,Applicant Name,Email,Intended Major,High School State,Application Fee,Submission Date
1352.0,wanda DOE   ,wdoe@gmail.com,Math,NV,$297.91,pending
1689.0, PETER JONES ,pjones@edu.org,Journalism,,"$1,939.68",08/14/2023
1485.0,   wanda MAXIMOFF   ,wmaximoff@yahoo.com,Math,, $277.90 ,2023/06/06
1388.0,PETER Parker,pparker@yahoo.com,Agriculture,AZ,$370.25,2023-02-24
1031.0,   bruce rogers ,brogers@stark.com,Physics,NV,$53.93,"Oct 16, 2023"
1442.0,  Diana STONE  ,dstone@outlook.com,,NV,"$1,220.80",07/26/2023
1198.0, CHARLIE Jane ,cjane@stark.com,Biology,WA, $403.84 ,03-17-2023
1425.0,peter Rogers   ,progers@stark.com,Physics,WA,$185.89,"Aug 26, 2023"
1107.0,   John JANE  ,jjane@gmail.com,Art,KS,"$1,106.45",09/16/2023
1714.0,   WANDA WAYNE,wwayne@gmail.com,Biology,,"$1,953.69",02/21/2023
1552.0,peter JORDAN,pjordan@skynet.com,History,OR,"$1,851.00","Oct 07, 2023"
1675.0,Mary CURRY   ,mcurry@gmail.com,Journalism,NV,$126.93,04/18/2023
1158.0, ALICE ALLEN  ,aallen@dailybugle.com,Art,NV,"$1,970.98",2023-02-18
1475.0,  HAL connor,hconnor@skynet.com,,FL," $1,262.67 ",pending
1423.0,  CHARLIE PARKER  ,cparker@stark.com,,,"$1,903.80",2023-07-24
1210.0,  Bruce Allen  ,ballen@skynet.com,Computer Science,AZ,"$1,160.63",08-30-2023
,   Clark jones,cjones@edu.org,Agriculture,,"$1,637.85",05-29-2023
1483.0,  ARTHUR Parker ,aparker@dailybugle.com,Physics,NV,"$1,824.77",2023-06-03
1884.0,   diana Allen,dallen@skynet.com,Math,CA," $1,867.95 ",unknown
1650.0,ARTHUR KENT  ,akent@dailybugle.com,Business,CA,"$1,614.79",2023-12-14
1244.0,   wanda Jones  ,wjones@outlook.com,,NY,$570.27,04/10/2023
1847.0,peter Jordan,pjordan@skynet.com,,TX,"$1,479.42",06/21/2023
1982.0,CLARK Prince,cprince@outlook.com,Math,CA,"$1,390.56",2023/07/02
1828.0,   PETER Kent ,pkent@yahoo.com,Journalism,AZ,$965.11,2023/05/20
,   barry BROWN ,bbrown@stark.com,Physics,NJ, $940.37 ,08-16-2023
1059.0,  Victor CONNOR  ,vconnor@stark.com,Agriculture,NJ,"$1,493.12",02/28/2023
1290.0, Clark Smith   ,csmith@stark.com,,CA, $721.85 ,08-01-2023
1070.0,   Arthur JANE,ajane@outlook.com,Journalism,,"$1,014.83",2023-09-04
1344.0, WANDA WAYNE  ,wwayne@dailybugle.com,Physics,CA," $1,345.60 ",01/07/2023
1184.0,   STEVE ALLEN  ,sallen@yahoo.com,,CA," $1,791.53 ",01-30-2023
1141.0,HAL jones,hjones@outlook.com,Physics,KS,$721.40,06/07/2023
1390.0, WANDA PRINCE   ,wprince@outlook.com,Business,NY," $1,789.51 ",12/14/2023
1491.0, DIANA JORDAN   ,djordan@yahoo.com,Art,OR,$769.33,"Dec 24, 2023"
1826.0,   BRUCE CURRY  ,bcurry@skynet.com,Journalism,TX," $1,930.95 ",2023/10/21
1101.0,CHARLIE STONE ,cstone@outlook.com,Journalism,FL, $692.05 ,05-26-2023
1749.0,  ALICE BROWN  ,abrown@yahoo.com,History,WA,"$1,982.01",04-22-2023
1551.0,Mary stone,mstone@dailybugle.com,Physics,KS,"$1,485.86",11/06/2023
1306.0, Peter BROWN   ,pbrown@stark.com,,TX,$634.99,2023-03-02
1986.0, ALICE Doe  ,adoe@stark.com,Engineering,NV,$786.35,2023-04-11
1321.0,Wanda CURRY  ,wcurry@skynet.com,Journalism,CA,$416.52,unknown
1799.0,Diana Jones   ,djones@gmail.com,Art,NV,$322.20,unknown
1730.0,  HAL kent ,hkent@skynet.com,,NV," $1,490.91 ",07/27/2023
1677.0, steve Smith,ssmith@outlook.com,Business,TX," $1,636.59 ",unknown
1653.0, john Maximoff   ,jmaximoff@gmail.com,Computer Science,AZ," $1,102.90 ",2023-08-14
